fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,metro_code,areaname,county,cousub,countyname,county_town_name,pop2010,acs_2017_2,state_alpha,fmr_type,metro,fmr_pct_chg,fmr_dollar_chg
100199999,588,691,829,1055,1451,1,METRO33860M33860,"Montgomery, AL MSA",1,99999,Autauga County,Autauga County,54571.0,822,AL,40,1,0.00851581508515815,7
100399999,729,762,879,1280,1471,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",3,99999,Baldwin County,Baldwin County,182265.0,977,AL,40,1,-0.100307062436029,-98
100599999,491,494,657,824,929,1,NCNTY01005N01005,"Barbour County, AL",5,99999,Barbour County,Barbour County,27457.0,671,AL,40,0,-0.0208643815201192,-14
100799999,692,768,882,1176,1315,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",7,99999,Bibb County,Bibb County,22915.0,866,AL,40,1,0.0184757505773672,16
100999999,692,768,882,1176,1315,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",9,99999,Blount County,Blount County,57322.0,866,AL,40,1,0.0184757505773672,16
101199999,483,483,606,822,825,1,NCNTY01011N01011,"Bullock County, AL",11,99999,Bullock County,Bullock County,10914.0,621,AL,40,0,-0.0241545893719807,-15
101399999,453,456,606,809,985,1,NCNTY01013N01013,"Butler County, AL",13,99999,Butler County,Butler County,20947.0,621,AL,40,0,-0.0241545893719807,-15
101599999,477,511,679,887,1035,1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",15,99999,Calhoun County,Calhoun County,118572.0,630,AL,40,1,0.0777777777777778,49
101799999,440,556,676,846,932,1,NCNTY01017N01017,"Chambers County, AL",17,99999,Chambers County,Chambers County,34215.0,751,AL,40,0,-0.099866844207723,-75
101999999,453,456,606,854,857,1,NCNTY01019N01019,"Cherokee County, AL",19,99999,Cherokee County,Cherokee County,25989.0,621,AL,40,0,-0.0241545893719807,-15
102199999,506,551,633,921,1115,1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",21,99999,Chilton County,Chilton County,43643.0,621,AL,40,1,0.0193236714975845,12
102399999,506,509,677,849,957,1,NCNTY01023N01023,"Choctaw County, AL",23,99999,Choctaw County,Choctaw County,13859.0,685,AL,40,0,-0.0116788321167883,-8
102599999,483,528,606,881,978,1,NCNTY01025N01025,"Clarke County, AL",25,99999,Clarke County,Clarke County,25833.0,621,AL,40,0,-0.0241545893719807,-15
102799999,513,528,606,881,1067,1,NCNTY01027N01027,"Clay County, AL",27,99999,Clay County,Clay County,13932.0,621,AL,40,0,-0.0241545893719807,-15
102999999,473,476,633,794,1041,1,NCNTY01029N01029,"Cleburne County, AL",29,99999,Cleburne County,Cleburne County,14972.0,662,AL,40,0,-0.0438066465256798,-29
103199999,524,526,619,900,1090,1,NCNTY01031N01031,"Coffee County, AL",31,99999,Coffee County,Coffee County,49948.0,661,AL,40,0,-0.0635400907715582,-42
103399999,526,529,669,887,1110,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",33,99999,Colbert County,Colbert County,54428.0,673,AL,40,1,-0.00594353640416048,-4
103599999,453,456,606,854,857,1,NCNTY01035N01035,"Conecuh County, AL",35,99999,Conecuh County,Conecuh County,13228.0,621,AL,40,0,-0.0241545893719807,-15
103799999,502,502,630,849,891,1,NCNTY01037N01037,"Coosa County, AL",37,99999,Coosa County,Coosa County,11539.0,683,AL,40,0,-0.0775988286969253,-53
103999999,453,456,606,801,1067,1,NCNTY01039N01039,"Covington County, AL",39,99999,Covington County,Covington County,37765.0,621,AL,40,0,-0.0241545893719807,-15
104199999,456,459,606,773,971,1,NCNTY01041N01041,"Crenshaw County, AL",41,99999,Crenshaw County,Crenshaw County,13906.0,621,AL,40,0,-0.0241545893719807,-15
104399999,472,500,619,817,843,1,NCNTY01043N01043,"Cullman County, AL",43,99999,Cullman County,Cullman County,80406.0,652,AL,40,0,-0.0506134969325153,-33
104599999,403,486,614,840,1081,1,NCNTY01045N01045,"Dale County, AL",45,99999,Dale County,Dale County,50251.0,635,AL,40,0,-0.0330708661417323,-21
104799999,474,517,606,813,933,1,NCNTY01047N01047,"Dallas County, AL",47,99999,Dallas County,Dallas County,43820.0,621,AL,40,0,-0.0241545893719807,-15
104999999,537,541,717,901,989,1,NCNTY01049N01049,"DeKalb County, AL",49,99999,DeKalb County,DeKalb County,71109.0,797,AL,40,0,-0.100376411543287,-80
105199999,588,691,829,1055,1451,1,METRO33860M33860,"Montgomery, AL MSA",51,99999,Elmore County,Elmore County,79303.0,822,AL,40,1,0.00851581508515815,7
105399999,513,528,606,797,825,1,NCNTY01053N01053,"Escambia County, AL",53,99999,Escambia County,Escambia County,38319.0,621,AL,40,0,-0.0241545893719807,-15
105599999,494,497,661,829,972,1,METRO23460M23460,"Gadsden, AL MSA",55,99999,Etowah County,Etowah County,104430.0,716,AL,40,1,-0.0768156424581006,-55
105799999,483,528,606,851,857,1,NCNTY01057N01057,"Fayette County, AL",57,99999,Fayette County,Fayette County,17241.0,621,AL,40,0,-0.0241545893719807,-15
105999999,483,519,606,760,857,1,NCNTY01059N01059,"Franklin County, AL",59,99999,Franklin County,Franklin County,31704.0,621,AL,40,0,-0.0241545893719807,-15
106199999,531,535,695,934,1090,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",61,99999,Geneva County,Geneva County,26790.0,656,AL,40,1,0.0594512195121951,39
106399999,483,483,606,854,857,1,NCNTY01063N01063,"Greene County, AL",63,99999,Greene County,Greene County,9045.0,621,AL,40,0,-0.0241545893719807,-15
106599999,599,660,805,1034,1096,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",65,99999,Hale County,Hale County,15760.0,782,AL,40,1,0.0294117647058824,23
106799999,538,554,636,797,1120,1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",67,99999,Henry County,Henry County,17302.0,621,AL,40,1,0.0241545893719807,15
106999999,531,535,695,934,1090,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",69,99999,Houston County,Houston County,101547.0,656,AL,40,1,0.0594512195121951,39
107199999,399,517,625,784,851,1,NCNTY01071N01071,"Jackson County, AL",71,99999,Jackson County,Jackson County,53227.0,644,AL,40,0,-0.0295031055900621,-19
107399999,692,768,882,1176,1315,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",73,99999,Jefferson County,Jefferson County,658466.0,866,AL,40,1,0.0184757505773672,16
107599999,483,523,606,854,857,1,NCNTY01075N01075,"Lamar County, AL",75,99999,Lamar County,Lamar County,14564.0,621,AL,40,0,-0.0241545893719807,-15
107799999,526,529,669,887,1110,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",77,99999,Lauderdale County,Lauderdale County,92709.0,673,AL,40,1,-0.00594353640416048,-4
107999999,443,523,669,873,926,1,METRO19460M19460,"Decatur, AL MSA",79,99999,Lawrence County,Lawrence County,34339.0,640,AL,40,1,0.0453125,29
108199999,557,633,827,1107,1339,1,METRO12220M12220,"Auburn-Opelika, AL MSA",81,99999,Lee County,Lee County,140247.0,798,AL,40,1,0.0363408521303258,29
108399999,521,603,717,966,1263,1,METRO26620M26620,"Huntsville, AL MSA",83,99999,Limestone County,Limestone County,82782.0,746,AL,40,1,-0.0388739946380697,-29
108599999,588,691,829,1055,1451,1,METRO33860M33860,"Montgomery, AL MSA",85,99999,Lowndes County,Lowndes County,11299.0,822,AL,40,1,0.00851581508515815,7
108799999,453,456,606,871,1012,1,NCNTY01087N01087,"Macon County, AL",87,99999,Macon County,Macon County,21452.0,621,AL,40,0,-0.0241545893719807,-15
108999999,521,603,717,966,1263,1,METRO26620M26620,"Huntsville, AL MSA",89,99999,Madison County,Madison County,334811.0,746,AL,40,1,-0.0388739946380697,-29
109199999,483,498,606,881,1067,1,NCNTY01091N01091,"Marengo County, AL",91,99999,Marengo County,Marengo County,21027.0,621,AL,40,0,-0.0241545893719807,-15
109399999,453,456,606,804,953,1,NCNTY01093N01093,"Marion County, AL",93,99999,Marion County,Marion County,30776.0,621,AL,40,0,-0.0241545893719807,-15
109599999,468,471,623,845,849,1,NCNTY01095N01095,"Marshall County, AL",95,99999,Marshall County,Marshall County,93019.0,621,AL,40,0,0.00322061191626409,2
109799999,679,683,840,1102,1276,1,METRO33660M33660,"Mobile, AL MSA",97,99999,Mobile County,Mobile County,412992.0,892,AL,40,1,-0.0582959641255605,-52
109999999,483,528,606,774,941,1,NCNTY01099N01099,"Monroe County, AL",99,99999,Monroe County,Monroe County,23068.0,621,AL,40,0,-0.0241545893719807,-15
110199999,588,691,829,1055,1451,1,METRO33860M33860,"Montgomery, AL MSA",101,99999,Montgomery County,Montgomery County,229363.0,822,AL,40,1,0.00851581508515815,7
110399999,443,523,669,873,926,1,METRO19460M19460,"Decatur, AL MSA",103,99999,Morgan County,Morgan County,119490.0,640,AL,40,1,0.0453125,29
110599999,513,528,606,854,857,1,NCNTY01105N01105,"Perry County, AL",105,99999,Perry County,Perry County,10591.0,621,AL,40,0,-0.0241545893719807,-15
110799999,451,456,606,822,825,1,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",107,99999,Pickens County,Pickens County,19746.0,621,AL,40,1,-0.0241545893719807,-15
110999999,502,505,606,823,825,1,NCNTY01109N01109,"Pike County, AL",109,99999,Pike County,Pike County,32899.0,654,AL,40,0,-0.073394495412844,-48
111199999,452,491,621,887,978,1,NCNTY01111N01111,"Randolph County, AL",111,99999,Randolph County,Randolph County,22913.0,662,AL,40,0,-0.0619335347432024,-41
111399999,621,685,823,1142,1450,1,METRO17980M17980,"Columbus, GA-AL MSA",113,99999,Russell County,Russell County,52947.0,777,AL,40,1,0.0592020592020592,46
111599999,692,768,882,1176,1315,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",115,99999,St. Clair County,St. Clair County,83593.0,866,AL,40,1,0.0184757505773672,16
111799999,692,768,882,1176,1315,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",117,99999,Shelby County,Shelby County,195085.0,866,AL,40,1,0.0184757505773672,16
111999999,538,541,720,903,981,1,NCNTY01119N01119,"Sumter County, AL",119,99999,Sumter County,Sumter County,13763.0,736,AL,40,0,-0.0217391304347826,-16
112199999,471,474,630,855,878,1,NCNTY01121N01121,"Talladega County, AL",121,99999,Talladega County,Talladega County,82291.0,675,AL,40,0,-0.0666666666666667,-45
112399999,513,526,606,857,974,1,NCNTY01123N01123,"Tallapoosa County, AL",123,99999,Tallapoosa County,Tallapoosa County,41616.0,621,AL,40,0,-0.0241545893719807,-15
112599999,599,660,805,1034,1096,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",125,99999,Tuscaloosa County,Tuscaloosa County,194656.0,782,AL,40,1,0.0294117647058824,23
112799999,502,505,655,828,979,1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",127,99999,Walker County,Walker County,67023.0,641,AL,40,1,0.0218408736349454,14
112999999,497,497,624,785,882,1,NCNTY01129N01129,"Washington County, AL",129,99999,Washington County,Washington County,17581.0,621,AL,40,0,0.00483091787439614,3
113199999,483,528,606,854,857,1,NCNTY01131N01131,"Wilcox County, AL",131,99999,Wilcox County,Wilcox County,11670.0,621,AL,40,0,-0.0241545893719807,-15
113399999,453,456,606,881,1009,1,NCNTY01133N01133,"Winston County, AL",133,99999,Winston County,Winston County,24484.0,621,AL,40,0,-0.0241545893719807,-15
201399999,751,915,1051,1318,1431,2,NCNTY02013N02013,"Aleutians East Borough, AK",13,99999,Aleutians East Borough,Aleutians East Borough,3141.0,1077,AK,40,0,-0.0241411327762303,-26
201699999,1038,1224,1628,2041,2505,2,NCNTY02016N02016,"Aleutians West Census Area, AK",16,99999,Aleutians West Census Area,Aleutians West Census Area,5561.0,1691,AK,40,0,-0.0372560615020698,-63
202099999,923,1035,1337,1945,2355,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",20,99999,Anchorage Municipality,Anchorage Municipality,291826.0,1293,AK,40,1,0.0340293890177881,44
205099999,1058,1290,1481,1857,2017,2,NCNTY02050N02050,"Bethel Census Area, AK",50,99999,Bethel Census Area,Bethel Census Area,17013.0,1464,AK,40,0,0.0116120218579235,17
206099999,892,949,1248,1610,1700,2,NCNTY02060N02060,"Bristol Bay Borough, AK",60,99999,Bristol Bay Borough,Bristol Bay Borough,997.0,1244,AK,40,0,0.00321543408360129,4
206899999,1042,1130,1458,1840,2244,2,NCNTY02068N02068,"Denali Borough, AK",68,99999,Denali Borough,Denali Borough,1826.0,1579,AK,40,0,-0.0766307789740342,-121
207099999,1013,1046,1201,1663,1848,2,NCNTY02070N02070,"Dillingham Census Area, AK",70,99999,Dillingham Census Area,Dillingham Census Area,4847.0,1192,AK,40,0,0.0075503355704698,9
209099999,873,1029,1368,1990,2409,2,METRO21820M21820,"Fairbanks, AK MSA",90,99999,Fairbanks North Star Borough,Fairbanks North Star Borough,97581.0,1267,AK,40,1,0.079715864246251,101
210099999,704,858,985,1247,1516,2,NCNTY02100N02100,"Haines Borough, AK",100,99999,Haines Borough,Haines Borough,2508.0,1007,AK,40,0,-0.0218470705064548,-22
210599999,535,650,839,1139,1143,2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",105,99999,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,2150.0,861,AK,40,0,-0.0255516840882695,-22
211099999,910,1072,1426,2039,2512,2,NCNTY02110N02110,"Juneau City and Borough, AK",110,99999,Juneau City and Borough,Juneau City and Borough,31275.0,1466,AK,40,0,-0.0272851296043656,-40
212299999,814,819,1082,1403,1595,2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",122,99999,Kenai Peninsula Borough,Kenai Peninsula Borough,55400.0,1113,AK,40,0,-0.0278526504941599,-31
213099999,801,944,1255,1649,2210,2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",130,99999,Ketchikan Gateway Borough,Ketchikan Gateway Borough,13477.0,1317,AK,40,0,-0.0470766894457099,-62
215099999,898,924,1061,1543,1738,2,NCNTY02150N02150,"Kodiak Island Borough, AK",150,99999,Kodiak Island Borough,Kodiak Island Borough,13592.0,1096,AK,40,0,-0.0319343065693431,-35
215899999,659,804,923,1157,1257,2,NCNTY02158N02158,Kusilvak Census Area,158,99999,Kusilvak Census Area,Kusilvak Census Area,7459.0,971,AK,40,0,-0.0494335736354274,-48
216499999,629,752,881,1105,1356,2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",164,99999,Lake and Peninsula Borough,Lake and Peninsula Borough,1631.0,910,AK,40,0,-0.0318681318681319,-29
217099999,740,835,1111,1616,1957,2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",170,99999,Matanuska-Susitna Borough,Matanuska-Susitna Borough,88995.0,1041,AK,40,1,0.0672430355427474,70
218099999,970,1285,1521,1907,2072,2,NCNTY02180N02180,"Nome Census Area, AK",180,99999,Nome Census Area,Nome Census Area,9492.0,1582,AK,40,0,-0.038558786346397,-61
218599999,926,1028,1180,1598,2040,2,NCNTY02185N02185,"North Slope Borough, AK",185,99999,North Slope Borough,North Slope Borough,9430.0,1231,AK,40,0,-0.041429731925264,-51
218899999,1080,1111,1276,1732,1738,2,NCNTY02188N02188,"Northwest Arctic Borough, AK",188,99999,Northwest Arctic Borough,Northwest Arctic Borough,7523.0,1262,AK,40,0,0.0110935023771791,14
219599999,692,816,1085,1360,1670,2,NCNTY02195N02195,"Petersburg Census Area, AK",195,99999,Petersburg Census Area,Petersburg Census Area,3815.0,1060,AK,40,0,0.0235849056603774,25
219899999,790,795,1032,1294,1406,2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",198,99999,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,5559.0,1062,AK,40,0,-0.0282485875706215,-30
222099999,903,1007,1261,1753,2221,2,NCNTY02220N02220,"Sitka City and Borough, AK",220,99999,Sitka City and Borough,Sitka City and Borough,8881.0,1278,AK,40,0,-0.013302034428795,-17
223099999,965,1090,1351,1965,2079,2,NCNTY02230N02230,"Skagway Municipality, AK",230,99999,Skagway Municipality,Skagway Municipality,968.0,1414,AK,40,0,-0.0445544554455446,-63
224099999,872,1030,1220,1775,2149,2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",240,99999,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,7029.0,1223,AK,40,0,-0.00245298446443173,-3
226199999,835,898,1194,1497,1838,2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",261,99999,Valdez-Cordova Census Area,Valdez-Cordova Census Area,9636.0,1139,AK,40,0,0.04828797190518,55
227599999,718,723,962,1223,1480,2,NCNTY02275N02275,"Wrangell City and Borough, AK",275,99999,Wrangell City and Borough,Wrangell City and Borough,2369.0,1010,AK,40,0,-0.0475247524752475,-48
228299999,799,841,1118,1402,1721,2,NCNTY02282N02282,"Yakutat City and Borough, AK",282,99999,Yakutat City and Borough,Yakutat City and Borough,662.0,1182,AK,40,0,-0.0541455160744501,-64
229099999,613,617,789,1033,1390,2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",290,99999,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,5588.0,789,AK,40,0,0.0,0
400199999,508,595,697,998,1206,4,NCNTY04001N04001,"Apache County, AZ",1,99999,Apache County,Apache County,71518.0,681,AZ,40,0,0.0234948604992658,16
400399999,617,621,779,1133,1372,4,METRO43420M43420,"Sierra Vista-Douglas, AZ MSA",3,99999,Cochise County,Cochise County,131346.0,747,AZ,40,1,0.0428380187416332,32
400599999,782,920,1129,1446,1719,4,METRO22380M22380,"Flagstaff, AZ MSA",5,99999,Coconino County,Coconino County,134421.0,1037,AZ,40,1,0.0887174541947927,92
400799999,643,647,861,1090,1173,4,NCNTY04007N04007,"Gila County, AZ",7,99999,Gila County,Gila County,53597.0,801,AZ,40,0,0.0749063670411985,60
400999999,595,650,785,1142,1354,4,NCNTY04009N04009,"Graham County, AZ",9,99999,Graham County,Graham County,37220.0,737,AZ,40,0,0.0651289009497965,48
401199999,530,531,700,878,953,4,NCNTY04011N04011,"Greenlee County, AZ",11,99999,Greenlee County,Greenlee County,8437.0,681,AZ,40,0,0.0279001468428781,19
401299999,568,571,760,953,1140,4,NCNTY04012N04012,"La Paz County, AZ",12,99999,La Paz County,La Paz County,20489.0,719,AZ,40,0,0.0570236439499305,41
401399999,684,815,1013,1474,1697,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",13,99999,Maricopa County,Maricopa County,3817117.0,944,AZ,40,1,0.0730932203389831,69
401599999,564,626,797,1145,1264,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",15,99999,Mohave County,Mohave County,200186.0,762,AZ,40,1,0.0459317585301837,35
401799999,572,575,722,969,1118,4,NCNTY04017N04017,"Navajo County, AZ",17,99999,Navajo County,Navajo County,107449.0,748,AZ,40,0,-0.0347593582887701,-26
401999999,545,642,854,1242,1463,4,METRO46060M46060,"Tucson, AZ MSA",19,99999,Pima County,Pima County,980263.0,867,AZ,40,1,-0.0149942329873126,-13
402199999,684,815,1013,1474,1697,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",21,99999,Pinal County,Pinal County,375770.0,944,AZ,40,1,0.0730932203389831,69
402399999,534,535,711,965,968,4,NCNTY04023N04023,"Santa Cruz County, AZ",23,99999,Santa Cruz County,Santa Cruz County,47420.0,681,AZ,40,0,0.0440528634361234,30
402599999,665,670,891,1271,1275,4,METRO39140M39140,"Prescott, AZ MSA",25,99999,Yavapai County,Yavapai County,211033.0,901,AZ,40,1,-0.0110987791342952,-10
402799999,583,601,800,1164,1409,4,METRO49740M49740,"Yuma, AZ MSA",27,99999,Yuma County,Yuma County,195751.0,870,AZ,40,1,-0.0804597701149425,-70
500199999,477,480,634,864,988,5,NCNTY05001N05001,"Arkansas County, AR",1,99999,Arkansas County,Arkansas County,19019.0,611,AR,40,0,0.0376432078559738,23
500399999,483,535,633,827,862,5,NCNTY05003N05003,"Ashley County, AR",3,99999,Ashley County,Ashley County,21853.0,611,AR,40,0,0.0360065466448445,22
500599999,501,516,686,908,934,5,NCNTY05005N05005,"Baxter County, AR",5,99999,Baxter County,Baxter County,41513.0,659,AR,40,0,0.0409711684370258,27
500799999,524,558,723,1039,1273,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",7,99999,Benton County,Benton County,221339.0,748,AR,40,1,-0.0334224598930481,-25
500999999,473,476,633,921,1115,5,NCNTY05009N05009,"Boone County, AR",9,99999,Boone County,Boone County,36903.0,623,AR,40,0,0.0160513643659711,10
501199999,420,495,659,826,898,5,NCNTY05011N05011,"Bradley County, AR",11,99999,Bradley County,Bradley County,11508.0,688,AR,40,0,-0.0421511627906977,-29
501399999,493,563,646,839,941,5,NCNTY05013N05013,"Calhoun County, AR",13,99999,Calhoun County,Calhoun County,5368.0,622,AR,40,0,0.0385852090032154,24
501599999,489,495,655,850,957,5,NCNTY05015N05015,"Carroll County, AR",15,99999,Carroll County,Carroll County,27446.0,642,AR,40,0,0.0202492211838006,13
501799999,483,551,633,921,922,5,NCNTY05017N05017,"Chicot County, AR",17,99999,Chicot County,Chicot County,11800.0,611,AR,40,0,0.0360065466448445,22
501999999,473,476,633,862,1020,5,NCNTY05019N05019,"Clark County, AR",19,99999,Clark County,Clark County,22995.0,611,AR,40,0,0.0360065466448445,22
502199999,473,476,633,894,922,5,NCNTY05021N05021,"Clay County, AR",21,99999,Clay County,Clay County,16083.0,611,AR,40,0,0.0360065466448445,22
502399999,503,506,673,939,1014,5,NCNTY05023N05023,"Cleburne County, AR",23,99999,Cleburne County,Cleburne County,25970.0,660,AR,40,0,0.0196969696969697,13
502599999,479,537,691,866,1076,5,METRO38220M38220,"Pine Bluff, AR MSA",25,99999,Cleveland County,Cleveland County,8689.0,659,AR,40,1,0.0485584218512898,32
502799999,451,551,633,921,960,5,NCNTY05027N05027,"Columbia County, AR",27,99999,Columbia County,Columbia County,24552.0,611,AR,40,0,0.0360065466448445,22
502999999,529,532,708,888,1024,5,NCNTY05029N05029,"Conway County, AR",29,99999,Conway County,Conway County,21273.0,688,AR,40,0,0.0290697674418605,20
503199999,493,613,743,1046,1047,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",31,99999,Craighead County,Craighead County,96443.0,735,AR,40,1,0.0108843537414966,8
503399999,486,524,697,944,1124,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",33,99999,Crawford County,Crawford County,61948.0,679,AR,40,1,0.0265095729013255,18
503599999,628,705,833,1136,1316,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",35,99999,Crittenden County,Crittenden County,50902.0,835,AR,40,1,-0.00239520958083832,-2
503799999,520,523,696,873,948,5,NCNTY05037N05037,"Cross County, AR",37,99999,Cross County,Cross County,17870.0,670,AR,40,0,0.0388059701492537,26
503999999,473,476,633,883,886,5,NCNTY05039N05039,"Dallas County, AR",39,99999,Dallas County,Dallas County,8116.0,611,AR,40,0,0.0360065466448445,22
504199999,473,476,633,854,922,5,NCNTY05041N05041,"Desha County, AR",41,99999,Desha County,Desha County,13008.0,611,AR,40,0,0.0360065466448445,22
504399999,478,481,640,849,872,5,NCNTY05043N05043,"Drew County, AR",43,99999,Drew County,Drew County,18509.0,618,AR,40,0,0.0355987055016181,22
504599999,585,676,811,1086,1289,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",45,99999,Faulkner County,Faulkner County,113237.0,814,AR,40,1,-0.00368550368550369,-3
504799999,479,483,642,805,935,5,NCNTY05047N05047,"Franklin County, AR",47,99999,Franklin County,Franklin County,18125.0,611,AR,40,0,0.0507364975450082,31
504999999,473,476,633,859,862,5,NCNTY05049N05049,"Fulton County, AR",49,99999,Fulton County,Fulton County,12245.0,611,AR,40,0,0.0360065466448445,22
505199999,531,580,771,967,1123,5,METRO26300M26300,"Hot Springs, AR MSA",51,99999,Garland County,Garland County,96024.0,765,AR,40,1,0.00784313725490196,6
505399999,470,566,650,938,1050,5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",53,99999,Grant County,Grant County,17853.0,622,AR,40,1,0.045016077170418,28
505599999,514,550,673,901,1099,5,NCNTY05055N05055,"Greene County, AR",55,99999,Greene County,Greene County,42090.0,658,AR,40,0,0.0227963525835866,15
505799999,489,504,641,804,873,5,NCNTY05057N05057,"Hempstead County, AR",57,99999,Hempstead County,Hempstead County,22609.0,613,AR,40,0,0.0456769983686786,28
505999999,499,554,653,856,1042,5,NCNTY05059N05059,"Hot Spring County, AR",59,99999,Hot Spring County,Hot Spring County,32923.0,649,AR,40,0,0.0061633281972265,4
506199999,404,476,633,804,922,5,NCNTY05061N05061,"Howard County, AR",61,99999,Howard County,Howard County,13789.0,611,AR,40,0,0.0360065466448445,22
506399999,473,476,633,794,895,5,NCNTY05063N05063,"Independence County, AR",63,99999,Independence County,Independence County,36647.0,611,AR,40,0,0.0360065466448445,22
506599999,473,476,633,859,862,5,NCNTY05065N05065,"Izard County, AR",65,99999,Izard County,Izard County,13696.0,611,AR,40,0,0.0360065466448445,22
506799999,404,476,633,794,975,5,NCNTY05067N05067,"Jackson County, AR",67,99999,Jackson County,Jackson County,17997.0,611,AR,40,0,0.0360065466448445,22
506999999,479,537,691,866,1076,5,METRO38220M38220,"Pine Bluff, AR MSA",69,99999,Jefferson County,Jefferson County,77435.0,659,AR,40,1,0.0485584218512898,32
507199999,486,489,651,853,923,5,NCNTY05071N05071,"Johnson County, AR",71,99999,Johnson County,Johnson County,25540.0,638,AR,40,0,0.0203761755485893,13
507399999,483,511,633,819,1034,5,NCNTY05073N05073,"Lafayette County, AR",73,99999,Lafayette County,Lafayette County,7645.0,611,AR,40,0,0.0360065466448445,22
507599999,494,497,633,849,971,5,NCNTY05075N05075,"Lawrence County, AR",75,99999,Lawrence County,Lawrence County,17415.0,611,AR,40,0,0.0360065466448445,22
507799999,473,476,633,874,1029,5,NCNTY05077N05077,"Lee County, AR",77,99999,Lee County,Lee County,10424.0,611,AR,40,0,0.0360065466448445,22
