,hr,holiday,workingday,temp,hum,windspeed,cnt,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty
0,0,0,0,0.76,0.66,0.0,149,13004,7,1,1,0,0
1,1,0,0,0.74,0.7,0.1343,93,13005,7,1,1,0,0
2,2,0,0,0.72,0.74,0.0896,90,13006,7,1,1,0,0
3,3,0,0,0.72,0.84,0.1343,33,13007,7,1,1,0,0
4,4,0,0,0.7,0.79,0.1939999999999999,4,13008,7,1,1,0,0
5,5,0,0,0.68,0.79,0.1045,10,13009,7,1,1,0,0
6,6,0,0,0.7,0.79,0.0896,27,13010,7,1,1,0,0
7,7,0,0,0.74,0.7,0.0,50,13011,7,1,1,0,0
8,8,0,0,0.78,0.62,0.1045,142,13012,7,1,1,0,0
9,9,0,0,0.82,0.56,0.0,219,13013,7,1,1,0,0
10,10,0,0,0.86,0.44,0.2985,366,13014,7,1,1,0,0
11,11,0,0,0.88,0.39,0.2239,377,13015,7,1,1,0,0
12,12,0,0,0.9,0.37,0.2239,433,13016,7,1,1,0,0
13,13,0,0,0.92,0.33,0.2537,420,13017,7,1,1,0,0
14,14,0,0,0.92,0.33,0.2537,444,13018,7,1,1,0,0
15,15,0,0,0.9,0.37,0.2836,345,13019,7,1,1,0,0
16,16,0,0,0.92,0.33,0.2985,313,13020,7,1,1,0,0
17,17,0,0,0.92,0.26,0.2985,413,13021,7,1,1,0,0
18,18,0,0,0.88,0.32,0.3582,370,13022,7,1,1,0,0
19,19,0,0,0.84,0.39,0.1343,382,13023,7,1,1,0,0
20,20,0,0,0.84,0.39,0.1343,332,13024,7,1,1,0,0
21,21,0,0,0.84,0.39,0.1343,258,13025,7,1,1,0,0
22,22,0,0,0.82,0.43,0.1343,151,13026,7,1,1,0,0
23,23,0,0,0.78,0.52,0.1642,110,13027,7,1,0,1,0
24,0,0,1,0.76,0.58,0.2239,43,13028,7,1,0,0,1
25,1,0,1,0.76,0.58,0.1939999999999999,17,13029,7,1,0,0,1
26,2,0,1,0.74,0.51,0.2537,15,13030,7,1,0,0,1
27,3,0,1,0.72,0.54,0.4179,5,13031,7,1,0,0,1
28,4,0,1,0.72,0.54,0.2985,12,13032,7,1,0,0,1
29,5,0,1,0.72,0.51,0.0,40,13033,7,1,0,0,1
30,6,0,1,0.7,0.58,0.1045,136,13034,7,1,1,0,0
31,7,0,1,0.74,0.51,0.1045,398,13035,7,1,1,0,0
32,8,0,1,0.76,0.52,0.1939999999999999,568,13036,7,1,1,0,0
33,9,0,1,0.78,0.46,0.2537,295,13037,7,1,1,0,0
34,10,0,1,0.8,0.43,0.2537,174,13038,7,1,1,0,0
35,11,0,1,0.84,0.28,0.2985,201,13039,7,1,1,0,0
36,12,0,1,0.84,0.32,0.1939999999999999,257,13040,7,1,1,0,0
37,13,0,1,0.86,0.34,0.2239,236,13041,7,1,1,0,0
38,14,0,1,0.86,0.34,0.2239,230,13042,7,1,1,0,0
39,15,0,1,0.84,0.36,0.1939999999999999,234,13043,7,1,1,0,0
40,16,0,1,0.84,0.36,0.2836,365,13044,7,1,1,0,0
41,17,0,1,0.84,0.32,0.1343,747,13045,7,1,1,0,0
42,18,0,1,0.84,0.32,0.1642,730,13046,7,1,1,0,0
43,19,0,1,0.78,0.43,0.1343,581,13047,7,1,1,0,0
44,20,0,1,0.78,0.43,0.1343,395,13048,7,1,1,0,0
45,21,0,1,0.76,0.45,0.1343,258,13049,7,1,1,0,0
46,22,0,1,0.74,0.51,0.1642,188,13050,7,1,1,0,0
47,23,0,1,0.74,0.51,0.1045,102,13051,7,1,1,0,0
48,0,0,1,0.72,0.54,0.0,53,13052,7,1,1,0,0
49,1,0,1,0.72,0.58,0.0,14,13053,7,1,1,0,0
50,2,0,1,0.72,0.58,0.0,10,13054,7,1,1,0,0
51,3,0,1,0.7,0.65,0.1343,2,13055,7,1,1,0,0
52,4,0,1,0.68,0.65,0.1045,6,13056,7,1,1,0,0
53,5,0,1,0.7,0.61,0.0,35,13057,7,1,1,0,0
54,6,0,1,0.7,0.65,0.1343,154,13058,7,1,1,0,0
55,7,0,1,0.74,0.58,0.0,483,13059,7,1,1,0,0
56,8,0,1,0.74,0.62,0.0896,646,13060,7,1,1,0,0
57,9,0,1,0.8,0.49,0.1642,272,13061,7,1,1,0,0
58,10,0,1,0.82,0.43,0.2239,209,13062,7,1,1,0,0
59,11,0,1,0.86,0.34,0.1939999999999999,217,13063,7,1,1,0,0
60,12,0,1,0.88,0.28,0.1939999999999999,272,13064,7,1,1,0,0
61,13,0,1,0.9,0.25,0.1343,283,13065,7,1,1,0,0
62,14,0,1,0.9,0.25,0.1939999999999999,310,13066,7,1,1,0,0
63,15,0,1,0.9,0.24,0.0,401,13067,7,1,0,0,1
64,16,0,1,0.9,0.24,0.1939999999999999,527,13068,7,1,0,0,1
65,17,0,1,0.86,0.3,0.1642,722,13069,7,1,0,0,1
66,18,0,1,0.86,0.3,0.0,627,13070,7,1,0,0,1
67,19,0,1,0.84,0.36,0.1343,497,13071,7,1,0,0,1
68,20,0,1,0.76,0.55,0.4925,376,13072,7,1,0,1,0
69,21,0,1,0.7,0.7,0.2836,196,13073,7,1,0,0,1
70,22,0,1,0.68,0.79,0.1939999999999999,177,13074,7,1,1,0,0
71,23,0,1,0.66,0.83,0.0,171,13075,7,1,1,0,0
72,0,1,0,0.68,0.79,0.0896,159,13076,7,1,1,0,0
73,1,1,0,0.68,0.74,0.0,123,13077,7,1,1,0,0
74,2,1,0,0.66,0.83,0.1343,93,13078,7,1,1,0,0
75,3,1,0,0.68,0.74,0.1939999999999999,32,13079,7,1,1,0,0
76,4,1,0,0.68,0.69,0.2537,16,13080,7,1,1,0,0
77,5,1,0,0.66,0.69,0.0,19,13081,7,1,1,0,0
78,6,1,0,0.66,0.69,0.0,32,13082,7,1,1,0,0
79,7,1,0,0.68,0.65,0.0,72,13083,7,1,1,0,0
80,8,1,0,0.7,0.61,0.1045,153,13084,7,1,1,0,0
81,9,1,0,0.76,0.52,0.0,293,13085,7,1,1,0,0
82,10,1,0,0.8,0.46,0.0,447,13086,7,1,1,0,0
83,11,1,0,0.82,0.46,0.1343,485,13087,7,1,1,0,0
84,12,1,0,0.86,0.41,0.2239,494,13088,7,1,1,0,0
85,13,1,0,0.9,0.35,0.0,499,13089,7,1,1,0,0
86,14,1,0,0.9,0.37,0.1642,547,13090,7,1,1,0,0
87,15,1,0,0.92,0.35,0.2985,454,13091,7,1,1,0,0
88,16,1,0,0.92,0.35,0.2537,389,13092,7,1,1,0,0
89,17,1,0,0.92,0.35,0.2985,414,13093,7,1,1,0,0
90,18,1,0,0.9,0.42,0.1939999999999999,430,13094,7,1,1,0,0
91,19,1,0,0.86,0.47,0.2239,432,13095,7,1,1,0,0
92,20,1,0,0.86,0.47,0.2239,551,13096,7,1,1,0,0
93,21,1,0,0.84,0.53,0.1343,584,13097,7,1,1,0,0
94,22,1,0,0.82,0.56,0.2239,502,13098,7,1,1,0,0
95,23,1,0,0.78,0.43,0.0896,183,13099,7,1,0,0,1
96,0,0,1,0.74,0.51,0.1045,88,13100,7,1,1,0,0
97,1,0,1,0.74,0.51,0.2836,30,13101,7,1,1,0,0
98,2,0,1,0.74,0.51,0.0,18,13102,7,1,1,0,0
99,3,0,1,0.72,0.54,0.1939999999999999,7,13103,7,1,1,0,0
100,4,0,1,0.72,0.58,0.0,7,13104,7,1,1,0,0
101,5,0,1,0.72,0.62,0.0,29,13105,7,1,1,0,0
102,6,0,1,0.72,0.58,0.0,133,13106,7,1,1,0,0
103,7,0,1,0.76,0.55,0.0,343,13107,7,1,1,0,0
104,8,0,1,0.8,0.49,0.1343,550,13108,7,1,1,0,0
105,9,0,1,0.84,0.49,0.2985,293,13109,7,1,1,0,0
106,10,0,1,0.86,0.44,0.3582,186,13110,7,1,1,0,0
107,11,0,1,0.9,0.35,0.2985,244,13111,7,1,1,0,0
108,12,0,1,0.9,0.35,0.3582,276,13112,7,1,1,0,0
109,13,0,1,0.92,0.33,0.2239,310,13113,7,1,1,0,0
110,14,0,1,0.92,0.33,0.3284,241,13114,7,1,1,0,0
111,15,0,1,0.92,0.33,0.3582,254,13115,7,1,1,0,0
112,16,0,1,0.92,0.33,0.2537,433,13116,7,1,1,0,0
113,17,0,1,0.92,0.35,0.1642,689,13117,7,1,1,0,0
114,18,0,1,0.9,0.39,0.3284,607,13118,7,1,0,0,1
115,19,0,1,0.88,0.39,0.2537,503,13119,7,1,0,0,1
116,20,0,1,0.86,0.41,0.2239,321,13120,7,1,0,0,1
117,21,0,1,0.84,0.47,0.1939999999999999,323,13121,7,1,1,0,0
118,22,0,1,0.82,0.59,0.1343,225,13122,7,1,1,0,0
119,23,0,1,0.8,0.55,0.1642,131,13123,7,1,1,0,0
120,0,0,1,0.78,0.62,0.1343,102,13124,7,1,1,0,0
121,1,0,1,0.78,0.55,0.2239,29,13125,7,1,1,0,0
122,2,0,1,0.76,0.62,0.1343,17,13126,7,1,1,0,0
123,3,0,1,0.74,0.7,0.1939999999999999,7,13127,7,1,0,0,1
124,4,0,1,0.74,0.66,0.2239,6,13128,7,1,1,0,0
125,5,0,1,0.74,0.66,0.1939999999999999,35,13129,7,1,1,0,0
126,6,0,1,0.74,0.66,0.1939999999999999,131,13130,7,1,1,0,0
127,7,0,1,0.78,0.46,0.1343,353,13131,7,1,1,0,0
128,8,0,1,0.8,0.41,0.1642,585,13132,7,1,1,0,0
129,9,0,1,0.82,0.36,0.1343,304,13133,7,1,1,0,0
130,10,0,1,0.86,0.3,0.0,210,13134,7,1,1,0,0
131,11,0,1,0.84,0.32,0.0896,233,13135,7,1,1,0,0
132,12,0,1,0.88,0.28,0.1045,331,13136,7,1,1,0,0
133,13,0,1,0.9,0.27,0.1045,293,13137,7,1,1,0,0
134,14,0,1,0.9,0.31,0.1642,275,13138,7,1,1,0,0
135,15,0,1,0.92,0.29,0.1939999999999999,285,13139,7,1,1,0,0
136,16,0,1,0.92,0.29,0.1045,369,13140,7,1,1,0,0
137,17,0,1,0.92,0.29,0.0,576,13141,7,1,1,0,0
138,18,0,1,0.9,0.33,0.2537,560,13142,7,1,1,0,0
139,19,0,1,0.88,0.35,0.2239,418,13143,7,1,1,0,0
140,20,0,1,0.86,0.39,0.1045,336,13144,7,1,1,0,0
141,21,0,1,0.82,0.52,0.1343,300,13145,7,1,1,0,0
142,22,0,1,0.8,0.55,0.1939999999999999,288,13146,7,1,1,0,0
143,23,0,1,0.8,0.63,0.1045,164,13147,7,1,1,0,0
144,0,0,0,0.78,0.66,0.1343,150,13148,7,1,1,0,0
145,1,0,0,0.76,0.7,0.1642,71,13149,7,1,1,0,0
146,2,0,0,0.76,0.72,0.1642,58,13150,7,1,1,0,0
147,3,0,0,0.74,0.74,0.1343,31,13151,7,1,1,0,0
148,4,0,0,0.74,0.74,0.1642,16,13152,7,1,1,0,0
149,5,0,0,0.74,0.74,0.1939999999999999,14,13153,7,1,1,0,0
150,6,0,0,0.74,0.74,0.1045,31,13154,7,1,1,0,0
151,7,0,0,0.78,0.66,0.1045,71,13155,7,1,1,0,0
152,8,0,0,0.82,0.63,0.1939999999999999,152,13156,7,1,1,0,0
153,9,0,0,0.84,0.59,0.1642,256,13157,7,1,1,0,0
154,10,0,0,0.92,0.37,0.2239,325,13158,7,1,1,0,0
155,11,0,0,0.94,0.38,0.1939999999999999,367,13159,7,1,1,0,0
156,12,0,0,0.96,0.31,0.3582,342,13160,7,1,1,0,0
157,13,0,0,0.96,0.31,0.2537,360,13161,7,1,0,0,1
158,14,0,0,0.96,0.3,0.1343,308,13162,7,1,0,0,1
159,15,0,0,0.96,0.26,0.0,306,13163,7,1,1,0,0
160,16,0,0,1.0,0.19,0.1642,294,13164,7,1,1,0,0
161,17,0,0,0.96,0.26,0.1343,279,13165,7,1,1,0,0
162,18,0,0,0.94,0.29,0.0896,277,13166,7,1,1,0,0
163,19,0,0,0.92,0.33,0.1343,287,13167,7,1,1,0,0
164,20,0,0,0.9,0.37,0.1642,276,13168,7,1,1,0,0
165,21,0,0,0.88,0.37,0.1939999999999999,201,13169,7,1,1,0,0
166,22,0,0,0.84,0.59,0.1939999999999999,220,13170,7,1,1,0,0
167,23,0,0,0.84,0.56,0.1642,148,13171,7,1,1,0,0
168,0,0,0,0.82,0.56,0.1343,147,13172,7,1,1,0,0
169,1,0,0,0.82,0.56,0.1045,124,13173,7,1,1,0,0
170,2,0,0,0.82,0.52,0.1045,70,13174,7,1,1,0,0
171,3,0,0,0.8,0.59,0.1045,35,13175,7,1,1,0,0
172,4,0,0,0.78,0.66,0.1045,13,13176,7,1,1,0,0
173,5,0,0,0.78,0.62,0.0,6,13177,7,1,1,0,0
174,6,0,0,0.78,0.7,0.1343,21,13178,7,1,1,0,0
175,7,0,0,0.8,0.66,0.0,52,13179,7,1,1,0,0
176,8,0,0,0.84,0.53,0.1343,130,13180,7,1,1,0,0
177,9,0,0,0.86,0.5,0.1045,242,13181,7,1,1,0,0
178,10,0,0,0.9,0.45,0.0,319,13182,7,1,1,0,0
179,11,0,0,0.92,0.42,0.2985,389,13183,7,1,1,0,0
180,12,0,0,0.92,0.42,0.1939999999999999,376,13184,7,1,1,0,0
181,13,0,0,0.94,0.38,0.2537,337,13185,7,1,1,0,0
182,14,0,0,0.96,0.36,0.1642,312,13186,7,1,1,0,0
183,15,0,0,0.92,0.42,0.2836,298,13187,7,1,0,1,0
184,16,0,0,0.8,0.66,0.2239,291,13188,7,1,0,0,1
185,17,0,0,0.78,0.59,0.0,270,13189,7,1,1,0,0
186,18,0,0,0.78,0.62,0.1045,253,13190,7,1,1,0,0
187,19,0,0,0.78,0.62,0.1642,250,13191,7,1,1,0,0
188,20,0,0,0.76,0.7,0.0896,285,13192,7,1,1,0,0
189,21,0,0,0.76,0.7,0.1343,207,13193,7,1,1,0,0
190,22,0,0,0.74,0.7,0.0896,122,13194,7,1,0,1,0
191,23,0,0,0.68,0.83,0.0896,123,13195,7,1,0,1,0
192,0,0,1,0.68,0.89,0.0896,39,13196,7,1,0,0,1
193,1,0,1,0.7,0.89,0.1045,18,13197,7,1,0,1,0
194,2,0,1,0.7,0.89,0.1939999999999999,5,13198,7,1,0,1,0
195,3,0,1,0.7,0.89,0.1939999999999999,5,13199,7,1,0,1,0
196,4,0,1,0.66,0.89,0.3881,2,13200,7,1,0,1,0
197,5,0,1,0.66,0.83,0.2239,28,13201,7,1,0,0,1
198,6,0,1,0.64,0.89,0.2537,92,13202,7,1,0,1,0
199,7,0,1,0.66,0.83,0.2239,230,13203,7,1,0,1,0
200,8,0,1,0.66,0.83,0.1642,455,13204,7,1,0,0,1
201,9,0,1,0.66,0.83,0.1642,363,13205,7,1,0,0,1
202,10,0,1,0.66,0.83,0.1939999999999999,175,13206,7,1,0,0,1
203,11,0,1,0.72,0.62,0.1343,216,13207,7,1,0,0,1
204,12,0,1,0.74,0.58,0.1343,266,13208,7,1,0,0,1
205,13,0,1,0.76,0.55,0.2537,255,13209,7,1,0,0,1
206,14,0,1,0.74,0.55,0.2537,242,13210,7,1,0,0,1
207,15,0,1,0.76,0.45,0.2239,280,13211,7,1,0,0,1
208,16,0,1,0.78,0.4,0.2836,413,13212,7,1,1,0,0
209,17,0,1,0.78,0.4,0.1642,849,13213,7,1,1,0,0
210,18,0,1,0.76,0.48,0.1343,872,13214,7,1,1,0,0
211,19,0,1,0.74,0.55,0.1642,631,13215,7,1,1,0,0
212,20,0,1,0.74,0.55,0.1045,447,13216,7,1,0,0,1
213,21,0,1,0.74,0.55,0.0896,331,13217,7,1,0,0,1
214,22,0,1,0.72,0.58,0.1045,224,13218,7,1,0,0,1
215,23,0,1,0.7,0.65,0.1045,131,13219,7,1,0,0,1
216,0,0,1,0.7,0.7,0.0896,69,13220,7,1,1,0,0
217,1,0,1,0.7,0.74,0.1343,15,13221,7,1,1,0,0
218,2,0,1,0.7,0.74,0.1343,16,13222,7,1,1,0,0
219,3,0,1,0.68,0.79,0.0,3,13223,7,1,1,0,0
220,4,0,1,0.68,0.79,0.1343,4,13224,7,1,1,0,0
221,5,0,1,0.66,0.83,0.1343,42,13225,7,1,1,0,0
222,6,0,1,0.68,0.79,0.1045,187,13226,7,1,0,0,1
223,7,0,1,0.7,0.74,0.1045,520,13227,7,1,0,0,1
224,8,0,1,0.72,0.74,0.1343,649,13228,7,1,1,0,0
225,9,0,1,0.74,0.66,0.1343,331,13229,7,1,1,0,0
226,10,0,1,0.76,0.62,0.1939999999999999,190,13230,7,1,1,0,0
227,11,0,1,0.8,0.46,0.1939999999999999,249,13231,7,1,1,0,0
228,12,0,1,0.8,0.41,0.1343,272,13232,7,1,1,0,0
229,13,0,1,0.82,0.38,0.1939999999999999,280,13233,7,1,1,0,0
230,14,0,1,0.82,0.38,0.1642,242,13234,7,1,1,0,0
231,15,0,1,0.8,0.41,0.2239,265,13235,7,1,1,0,0
232,16,0,1,0.8,0.43,0.2239,435,13236,7,1,1,0,0
233,17,0,1,0.78,0.49,0.1939999999999999,872,13237,7,1,1,0,0
234,18,0,1,0.7,0.74,0.2239,819,13238,7,1,0,1,0
235,19,0,1,0.7,0.74,0.2239,414,13239,7,1,0,1,0
236,20,0,1,0.64,0.83,0.2239,84,13240,7,1,0,1,0
237,21,0,1,0.64,0.89,0.1045,90,13241,7,1,0,1,0
238,22,0,1,0.64,0.83,0.1343,139,13242,7,1,0,0,1
239,23,0,1,0.64,0.89,0.1045,103,13243,7,1,0,0,1
240,0,0,1,0.66,0.83,0.1343,44,13244,7,1,0,0,1
241,1,0,1,0.64,0.89,0.0,14,13245,7,1,1,0,0
242,2,0,1,0.64,0.89,0.0,5,13246,7,1,1,0,0
243,3,0,1,0.64,0.89,0.1343,5,13247,7,1,1,0,0
244,4,0,1,0.64,0.89,0.1343,7,13248,7,1,1,0,0
245,5,0,1,0.64,0.89,0.0,41,13249,7,1,1,0,0
246,6,0,1,0.64,0.89,0.1343,185,13250,7,1,1,0,0
247,7,0,1,0.66,0.83,0.1045,497,13251,7,1,0,0,1
248,8,0,1,0.68,0.79,0.1642,674,13252,7,1,0,0,1
249,9,0,1,0.7,0.74,0.1343,328,13253,7,1,0,0,1
250,10,0,1,0.72,0.62,0.1343,195,13254,7,1,0,0,1
251,11,0,1,0.76,0.58,0.1343,229,13255,7,1,0,0,1
252,12,0,1,0.78,0.43,0.0,292,13256,7,1,0,0,1
253,13,0,1,0.8,0.42,0.1642,273,13257,7,1,0,0,1
254,14,0,1,0.8,0.41,0.2239,241,13258,7,1,1,0,0
255,15,0,1,0.8,0.41,0.2537,276,13259,7,1,1,0,0
256,16,0,1,0.8,0.38,0.1939999999999999,411,13260,7,1,1,0,0
257,17,0,1,0.8,0.31,0.2239,830,13261,7,1,1,0,0
258,18,0,1,0.78,0.38,0.2537,814,13262,7,1,1,0,0
259,19,0,1,0.74,0.48,0.2239,633,13263,7,1,1,0,0
260,20,0,1,0.74,0.51,0.1642,483,13264,7,1,1,0,0
261,21,0,1,0.72,0.58,0.2239,391,13265,7,1,1,0,0
262,22,0,1,0.72,0.58,0.2537,244,13266,7,1,1,0,0
263,23,0,1,0.7,0.58,0.2537,152,13267,7,1,0,0,1
264,0,0,1,0.68,0.61,0.0,56,13268,7,1,0,0,1
265,1,0,1,0.66,0.61,0.0,21,13269,7,1,0,0,1
266,2,0,1,0.66,0.65,0.0896,9,13270,7,1,0,0,1
267,3,0,1,0.64,0.69,0.1045,10,13271,7,1,1,0,0
268,4,0,1,0.64,0.73,0.1045,5,13272,7,1,1,0,0
269,5,0,1,0.62,0.73,0.1045,44,13273,7,1,1,0,0
270,6,0,1,0.64,0.73,0.0896,178,13274,7,1,1,0,0
271,7,0,1,0.64,0.73,0.1343,512,13275,7,1,1,0,0
272,8,0,1,0.68,0.65,0.1343,702,13276,7,1,1,0,0
273,9,0,1,0.72,0.58,0.1045,327,13277,7,1,1,0,0
274,10,0,1,0.74,0.48,0.1642,214,13278,7,1,1,0,0
275,11,0,1,0.76,0.45,0.1045,215,13279,7,1,1,0,0
276,12,0,1,0.78,0.35,0.1343,292,13280,7,1,1,0,0
277,13,0,1,0.8,0.33,0.2239,277,13281,7,1,1,0,0
278,14,0,1,0.78,0.33,0.2239,209,13282,7,1,1,0,0
279,15,0,1,0.8,0.36,0.1939999999999999,271,13283,7,1,1,0,0
280,16,0,1,0.8,0.36,0.1939999999999999,439,13284,7,1,1,0,0
281,17,0,1,0.76,0.43,0.2239,795,13285,7,1,1,0,0
282,18,0,1,0.76,0.45,0.1343,825,13286,7,1,1,0,0
283,19,0,1,0.74,0.48,0.2239,629,13287,7,1,1,0,0
284,20,0,1,0.74,0.48,0.2239,514,13288,7,1,1,0,0
285,21,0,1,0.72,0.48,0.2239,373,13289,7,1,1,0,0
286,22,0,1,0.72,0.51,0.1642,318,13290,7,1,1,0,0
287,23,0,1,0.7,0.51,0.2239,211,13291,7,1,0,0,1
288,0,0,1,0.7,0.54,0.1642,95,13292,7,1,0,0,1
289,1,0,1,0.68,0.54,0.1045,59,13293,7,1,0,0,1
290,2,0,1,0.66,0.61,0.0896,17,13294,7,1,0,0,1
291,3,0,1,0.68,0.61,0.0,9,13295,7,1,0,0,1
292,4,0,1,0.66,0.61,0.0,11,13296,7,1,0,0,1
293,5,0,1,0.66,0.56,0.0896,34,13297,7,1,0,0,1
294,6,0,1,0.7,0.54,0.0,127,13298,7,1,0,0,1
295,7,0,1,0.7,0.54,0.0,380,13299,7,1,0,0,1
296,8,0,1,0.7,0.54,0.0,713,13300,7,1,0,0,1
297,9,0,1,0.72,0.51,0.0,414,13301,7,1,0,0,1
